,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM
Cox7a2l,21.7997,29.3116,22.8272,19.5744,21.8633,18.8009,19.8299,27.4048,23.2517,23.4758,12.8838,15.892
ACSF2,0.427135,0.56277,6.32172,6.62359,3.0113,1.42505,0.607071,1.18931,6.11446,3.66903,2.88477,1.38437
PSME3,17.8871,19.8641,14.4083,13.4397,12.8538,12.5871,16.6795,14.306,18.0121,11.1503,11.3746,11.6677
LOC559344,2.48198,2.41548,3.33524,4.71036,4.7211,3.89148,1.79823,3.59202,5.00368,4.9621,5.15654,2.09118
OSBPL7,4.92217,2.93472,13.0721,18.2741,7.90354,6.97084,1.26208,3.57984,4.80134,12.7044,8.74244,8.23006
ENTPD1,11.103,17.6237,22.5293,28.3329,18.1722,9.71587,8.39715,16.6877,20.4911,32.9429,22.0281,13.9434
map2k6,11.7849,16.8256,21.5604,19.2706,18.4342,15.5414,10.9148,13.5088,16.6498,17.5631,22.3089,15.2854
DOCK1,8.66705,6.59469,9.63981,11.7447,11.369,8.73565,8.88051,7.85407,7.73313,12.8275,12.2837,9.18063
bccip,18.3497,22.4833,28.687,26.7805,22.8,18.5834,23.6467,19.68,27.0525,29.1356,24.3426,17.4143
pald,5.44975,5.72636,6.76198,5.32465,5.08995,4.86136,4.91178,6.93161,5.44921,4.237,3.8982,3.7838
smek2,17.1891,17.3957,16.587,13.6584,12.9764,11.716,15.66,15.9473,15.7294,12.6757,11.4319,15.2134
smek2,1.47012,0.577322,0.325188,0.733884,4.76037,2.33727,0.73593,0.302516,0.672664,1.02171,2.21722,2.23272
nrxn1b,50.9266,51.4747,40.1825,22.3871,36.6363,29.008,53.0678,61.5274,60.4246,39.1372,33.1927,34.9036
Elovl5,1.87174,3.21479,8.75924,8.09755,4.90875,2.49706,2.17559,2.37026,7.6515,7.73599,5.24102,3.33233
prph2b,1.4056,0.241709,0.206174,1.42061,1.71622,3.73087,1.34455,0.868661,0.528524,0.419018,0.792963,2.28363
PSAP,379.601,319.775,321.628,273.342,301.409,299.552,340.005,378.469,347.022,290.757,294.521,319.959
Gins1,3.13088,2.86945,9.06124,5.13294,4.42603,3.23708,2.57512,2.67261,7.00628,6.57793,3.91373,2.93413
eif2ak3,7.35184,7.62516,6.15267,6.90637,6.32952,7.72121,8.2559,8.23631,6.64808,5.88648,5.7923,6.4811
si:dkey-259n11.1,13.6059,12.7829,12.3493,10.9531,12.896,13.2411,16.0601,14.1769,11.529,12.3807,12.9494,13.6761
LOXL3,8.06972,8.26564,12.6321,13.0856,10.2956,7.621,8.06861,7.96901,10.4532,12.5763,8.37485,10.4506
,25.4409,19.4743,8.74665,8.7521,13.7043,25.0822,41.2791,25.4558,11.9514,11.5951,15.2763,21.0496
bmpr1aa,11.3894,8.6414,10.153,8.91281,11.8739,11.4676,11.8959,10.5299,9.48002,10.3672,12.4328,11.9968
zgc:101897,7.39747,6.25793,15.7977,19.6021,12.2253,7.55009,3.84042,7.12984,14.047,11.9235,12.1708,7.39661
zgc:109962,56.8106,40.6899,12.7597,17.5082,36.4964,37.3213,54.0583,58.8756,17.9461,18.3547,35.6085,48.8337
arg2,7.37003,12.9699,59.547,31.5217,12.825,7.92505,5.09741,9.44352,33.7847,56.4622,22.0797,8.88952
Polr1b,2.46132,3.72084,4.79285,4.78763,3.8305,3.03147,3.76179,4.92051,4.50176,5.72486,3.46935,3.55681
Tmem50a,64.6852,60.4036,59.6184,46.7279,50.9742,57.2277,64.3963,63.5813,65.2858,47.9463,56.7395,54.5553
LYCAT,19.416,23.5216,25.7666,23.8825,24.8023,17.363,20.0033,25.2255,23.1295,26.4136,22.2334,21.0873
zgc:110045,118.475,67.032,24.8234,47.6449,98.7179,90.8054,118.297,96.9583,38.8405,77.347,121.705,149.904
mat1a,1.03531,2.97605,7.32242,5.96186,1.04977,1.49648,0.857172,4.41277,6.89047,1.64206,1.07342,0.666213
gfra1a,13.561,13.7405,11.566,10.5575,9.39326,11.326,17.3374,15.5266,11.7808,11.0909,9.91208,9.63974
,8.04055,5.34384,3.65938,3.0628,4.40409,6.03203,6.95373,4.50982,4.78406,4.3557,5.621,5.2032
HK1,19.1379,27.3174,35.9803,27.7568,26.7333,25.518,21.0588,21.1114,31.1594,34.3003,28.0421,21.8282
c10orf119,1.15834,2.65287,4.03405,3.64253,2.03475,1.47017,0.961926,1.54221,2.24645,2.39701,1.23377,1.38449
rel,3.55336,3.51483,3.39611,3.55058,2.09677,3.04293,2.94548,3.37146,3.75232,2.49312,2.27412,1.45052
Rrp12,7.97706,10.7559,12.0775,14.0457,14.5505,11.0297,9.65475,9.58618,9.60361,13.2925,13.0426,11.3761
ZDHHC16,12.1898,11.6339,7.60058,7.61102,7.46051,6.52435,10.0021,11.2357,11.0928,8.07299,6.21405,7.80503
NUSAP1,2.33775,3.76093,2.32235,1.21284,0.43146,1.23929,1.52261,2.43481,1.35565,0.109749,1.04269,0.528942
mycl1a,0.54327,1.05529,1.49687,2.12724,2.09584,1.81827,1.36663,0.884417,0.570024,2.68152,2.46226,1.2825
pcdh15a,5.16195,8.58531,6.78621,3.89752,4.40986,3.97933,7.09023,6.96999,7.31119,6.75506,4.34009,4.4762
zgc:112097,6.76046,5.04552,2.34114,2.65515,3.32023,3.98428,4.308,4.32296,4.06635,3.16944,2.90692,4.48457
slc30a10,1.28079,2.54403,3.83311,1.5032,1.24481,1.01239,1.61527,2.69099,3.46483,3.41899,1.21218,1.02177
zgc:66337,11.8219,19.8274,28.314,16.7167,16.0927,8.85035,13.6311,11.9463,24.0439,25.5651,21.3184,10.678
pcdh2ab10,110.328,82.3992,70.7702,45.0453,64.7772,96.0728,91.0864,75.5307,81.1253,62.225,77.2834,76.2013
HSPA9,52.8569,57.9801,62.0005,68.702,69.9668,60.4161,62.6764,51.8807,65.1254,70.6149,69.7958,56.2464
nlgn3a,19.0368,15.118,15.8832,11.5549,15.7207,19.7238,18.096,16.9934,14.5375,13.1717,17.5334,17.7752
IMMT,20.6422,21.9831,24.2704,24.2873,22.5142,20.3644,22.1319,21.5593,24.3351,23.251,21.2421,19.3466
ATP7A,12.5964,7.53637,6.24908,5.02399,8.1192,12.8439,11.601,10.0149,6.01622,6.76197,7.68084,10.6811
XIAP,15.7207,14.279,16.3368,11.2681,10.157,9.63807,9.16239,12.8057,14.7638,12.9464,8.71804,8.96455
zgc:73136,15.9021,18.7372,12.5507,11.8407,10.7041,11.5853,14.1036,13.9974,15.1688,10.7487,11.0328,12.3673
pdzd11,21.1559,24.1477,17.5011,12.5179,15.1721,12.3586,14.2428,18.5724,18.0182,13.1198,12.7741,12.2117
Med7,8.00899,6.28501,4.82739,3.47618,3.50756,4.54711,4.72703,7.13559,6.30274,3.485,4.37466,4.2589
zgc:77938,7.10391,5.69728,4.9559,4.58586,4.44529,6.7333,6.2247,6.13471,5.83354,4.50122,4.01686,5.20334
qdpra,35.493,43.5475,44.5439,66.4186,68.13,36.7784,50.4182,40.9345,54.795,74.9944,72.7228,59.0553
Etfdh,21.7029,15.603,9.15759,8.06895,14.3106,17.3075,23.511,15.2363,9.63031,10.5418,14.3316,17.4854
Unc5a,1.08236,0.799281,2.10506,1.41607,2.54859,2.94371,1.66844,1.22774,0.997823,2.95888,2.71879,3.28673
tcerg1,7.2692,2.85129,6.96848,14.782,25.659,9.50815,4.14889,7.04731,9.1279,31.8431,15.9322,23.0069
zgc:174864,1.72006,2.17374,3.66568,3.30421,2.43738,1.90536,1.55051,2.09308,3.32067,3.22544,2.61141,1.9703
zgc:65749,4.68272,7.89857,9.25934,9.24348,6.12076,6.58321,6.61532,6.22211,8.99677,9.06744,7.23903,5.00797
pcdh2g28,257.436,233.12,173.662,145.203,221.426,225.05,297.831,260.952,209.112,181.741,225.822,247.471
pcdh2ab10,6.66538,2.0086,0.320098,1.65313,5.58148,11.3384,6.4831,6.84131,2.32704,2.2528,1.19973,6.25559
zgc:162144,6.59666,8.39699,70.6673,64.2048,31.3735,7.57506,3.97062,8.33056,26.8536,114.578,49.6302,20.5475
zgc:64130,28.239,27.3194,31.0708,46.2089,34.2692,27.8536,22.0826,29.8434,30.8078,32.7744,34.955,25.7193
zgc:153710,52.3944,52.4122,35.0412,34.6407,31.0049,34.8283,40.8024,40.5795,47.7881,30.7846,33.0438,35.1016
DUSP1,145.02,114.018,124.531,122.296,173.722,140.17,127.83,140.618,106.388,146.268,186.087,191.591
Mxd3,6.06605,3.71751,1.37152,3.28538,5.39688,8.00024,4.13109,4.76253,1.46242,2.25729,8.06516,8.88754
zgc:158426,42.8603,38.2627,53.7506,56.9359,48.4671,47.4849,39.8952,37.1596,49.499,69.6592,57.3535,42.2905
Mbnl3,102.467,61.521,23.2228,41.3151,78.2753,125.266,171.574,92.3377,24.8414,40.032,79.0944,112.226
fgf13,8.16594,22.5458,38.058,23.7423,24.3488,19.5288,17.3016,23.7693,27.5776,35.612,28.2544,20.8208
