RefSeqID,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM,GeneSymbol
NM_200052,13.7918,10.7844,11.988,10.2801,12.2079,11.6354,12.8821,12.7983,14.8389,12.6265,11.938,13.8757,tsc1a
NM_001020644,4.02008,1.4749,4.18028,0.878621,2.50852,2.59801,1.03149,0.445426,3.18232,0.287829,1.33921,0.531699,zgc:112030
NM_001144790,1.67668,4.95086,5.58183,2.79276,3.19046,4.80898,4.08569,3.52402,4.03219,4.65551,3.12268,3.22793,si:ch211-215c18.4
NM_198065,22.8583,23.4408,30.5339,54.1816,20.8575,25.7957,22.3308,32.2224,21.1406,17.4697,19.8709,17.3814,THY1
NM_213194,24.2824,26.2203,18.756,20.075,21.6228,19.1732,22.3542,27.9018,25.828,22.441,20.4485,20.8951,USF2
NM_001082982,0.281738,0.0598942,0,0,0.274304,0.415474,0.382996,0.435488,0.0568812,0.399926,0.0962338,0.0848953,si:ch211-89p1.1
NM_001004667,19.2644,12.9679,18.6202,46.0737,11.2406,27.0773,8.45854,20.5905,9.55405,11.0451,14.7664,12.684,F11r
NM_001128779,22.8063,19.7457,10.0635,9.52926,6.33916,7.74199,14.0675,13.987,13.9169,5.6121,4.58402,4.41124,TIMM8B
NM_001126429,1.97831,1.27765,1.12772,1.76306,1.36403,2.37733,1.16617,1.07131,1.76745,1.53005,1.20994,1.02054,LOC569571
NM_001080025,0.889529,0.45719,1.55637,4.98713,0.495597,2.80651,0.725663,0.668113,1.03743,0.158604,0.407448,0.187534,zgc:158412
NM_001077571,1.4406,1.33418,2.58403,1.80879,2.38701,2.12655,1.26401,1.43706,2.63077,1.04593,1.99625,2.19911,
NM_201154,1.92873,1.97916,1.4696,2.23626,1.71695,2.84305,3.03107,2.62995,1.01196,0.752591,1.46134,1.04586,hmbsa
NM_001089411,13.731,12.0473,9.52161,9.15871,8.50178,7.75972,10.1683,10.4112,10.2478,9.79687,10.5262,9.11102,DPAGT1
NM_213424,2.48606,2.75834,2.71893,2.67709,2.80874,3.41269,1.99741,2.01384,3.09744,2.28089,2.45252,2.7096,hinfp
NM_001130787,0,0,0,0,0.0201007,0,0,0,0,0,0,0,zgc:194812
NM_199757,184.609,146.082,53.6179,53.4088,55.6948,45.6464,180.52,57.3507,177.994,53.3541,46.4967,40.7376,atp5l
NM_174860,5.74673,8.91991,8.19813,9.29185,8.73326,8.27893,9.2136,7.29846,8.6413,7.03939,7.86085,5.33539,RUVBL2
NM_199863,12.3472,13.0137,9.58272,8.40633,11.5266,11.6373,13.1764,12.2037,11.7081,10.6418,10.4261,10.7432,UBE2G2
NM_001102672,10.5896,9.37911,7.82992,9.4314,8.28108,8.86041,8.73666,7.29449,10.125,7.59163,8.57777,6.63,Ankfy1
NM_001014339,3.98622,4.54363,7.00614,4.82863,3.69823,6.90804,3.71517,4.27541,5.03002,4.29985,4.52693,4.36216,Camkk1
NM_001160020,16.4371,12.9213,9.35764,8.70765,10.688,12.3625,9.61786,10.5993,7.88223,9.7394,8.28361,12.1541,si:dkey-7o20.1
NM_200294,2.62749,2.8428,3.25517,3.12778,2.51576,2.80121,2.6109,1.77064,2.02012,1.71426,2.43585,2.63538,Uap1l1
NM_001017800,134.686,122.69,93.7235,94.103,116.222,84.1442,152.604,113.241,157.873,123.022,120.125,139.73,zgc:110331
NM_201005,42.9582,44.1347,33.0297,33.4728,37.4545,35.6764,41.6888,34.6125,46.1512,34.1193,34.2682,33.0019,PPP6C
NM_001003771,9.52005,11.8202,8.79148,8.26176,8.91711,7.25828,16.2125,8.98469,11.2686,7.12034,8.24151,11.0989,zmat5
NM_205693,1.45963,2.15629,2.04758,1.61849,1.40655,1.83008,1.88081,1.75528,2.10846,0.598846,1.47479,0.675894,zgc:77891
NM_152982,0.0443672,0,0.021314,0,0.00637081,0,0.0247108,0,0,0,0,0,LOC100149148
NM_001020485,0.0221383,0,0.46723,0,0.0189445,0.0570258,0,0.288199,0,0,0,0.0561532,LOC100149148
NM_001024435,0,0,0,0,0,0,0,0,0,0,0,0,C9
NM_200648,4.93086,3.66135,3.93351,3.21229,3.21902,3.86926,4.93935,3.73701,3.06418,3.37842,3.33795,2.86843,Ndor1
NM_199754,2.49476,3.82195,6.86741,5.83787,3.16525,7.39064,4.61947,4.9016,6.43177,4.28743,4.37133,2.8794,Ier5l
NM_001005587,13.5305,12.1058,13.9869,8.64968,12.3958,10.0199,13.6409,10.8141,14.2219,11.7651,11.2337,10.1044,zgc:92317
NM_201584,436.041,350.582,397.961,448.566,369.664,338.19,419.12,376.812,437.362,316.704,279.795,288.309,rpl12
NM_200801,4.96796,1.82418,0.174453,0.788296,2.91167,2.29935,6.67035,2.33788,2.04034,1.45899,0.265327,1.15493,POLE3
NM_001017653,0,0.17114,0.0820237,0.515912,0.123773,0.186485,0,0.167326,0.349579,0.223597,0.24558,0.174733,cyr61l1
NM_177984,31.8783,29.82,26.9618,29.0967,34.7876,20.3818,35.2639,33.1831,25.3197,37.0374,34.5119,31.2226,lmo4a
NM_001080173,7.79972,6.73264,8.28788,7.48538,8.4255,6.79854,11.1915,6.71458,7.88302,8.10439,7.87156,6.61493,SURF1
NM_001002144,7.66379,6.56235,7.78448,7.57472,6.60405,5.03387,8.30467,6.28869,5.4035,4.8847,6.50641,6.04351,MED22
NM_200987,10.9187,12.8828,14.8107,8.6812,11.31,12.1908,10.1829,11.8546,12.2012,11.2975,11.0954,11.5533,USP20
NM_001014828,5.45043,5.57223,4.81531,6.04237,4.88707,6.22086,5.49704,8.12414,5.50966,4.8176,6.59728,5.07446,PTGES
NM_001128279,0.646472,0.95061,0,0.959863,0.15291,0.157595,0,0,0,0,0,0,LOC100000754
NM_001077375,2.93261,3.13054,2.82854,1.955,3.07799,4.28041,2.59442,3.56572,3.96818,2.41739,3.16343,3.22127,zgc:153539
NM_198870,75.3354,72.9375,40.2137,46.7485,63.2063,61.5516,78.2257,74.7171,58.1218,51.4957,63.8251,78.6372,aif1l
NM_001077545,11.685,13.9293,15.1152,13.3126,12.0118,13.9765,9.27446,12.6442,11.2193,15.7346,12.1466,16.2433,GFM2
NM_213129,12.4644,10.8673,10.7072,9.6524,9.78283,10.8766,13.0947,12.4639,13.709,10.4924,10.163,10.7782,ANKRA2
NM_212913,0.191629,0.322503,0.249562,0.191717,0.135324,0.623247,0.131577,0.0556704,0.708696,0.54056,0.123432,0.120316,foxd1l
NM_001128367,0.932492,0.767849,3.65058,3.46919,1.05172,1.62192,0.700464,1.27582,0.497627,1.28031,1.38968,1.10464,ptger4b
NM_213132,0.319983,0,0,0,0,0,0,0,0,0,0,0,fbp1b
NM_001128415,13.638,18.0955,15.264,14.4704,17.8263,16.8141,17.4682,18.7159,15.6911,17.8892,14.8516,17.0383,fbp1b
NM_001083123,17.3174,21.6707,21.4845,25.6652,23.5956,20.3171,25.2185,28.4089,20.6804,35.409,29.9661,24.533,Ar
NM_001002096,22.2912,23.0325,15.4445,21.6354,18.4925,16.2578,23.2349,14.707,24.5115,17.4751,15.9443,17.4998,YIPF6
NM_001126477,12.4633,9.40317,7.58996,8.04448,11.8237,10.7583,12.2696,12.8869,6.40312,10.6157,11.2621,13.2353,si:ch211-124k10.2
NM_001004659,17.3424,17.0814,13.4899,7.6387,11.6106,9.35303,8.51919,14.4707,12.3757,15.1155,13.6001,9.32316,zgc:103697
NM_001080643,1.08274,2.58092,4.40542,1.70714,1.68103,2.56896,1.85648,1.76309,2.9747,1.99433,2.08857,1.56265,si:dkey-48f17.1
NM_001115065,2.27688,1.3625,2.6788,1.53404,1.82202,2.56452,1.58572,1.75591,1.94591,1.82687,2.47048,1.68935,si:ch73-223d24.5
NM_001144804,0.0371953,0.489014,0.425404,0.467226,0.847567,0.126708,0.937311,0.532448,0,0.251284,0.82269,0.313095,WNT11
NM_213522,10.3626,12.8587,13.8376,10.4058,10.5465,13.2836,13.1748,10.8931,12.4646,12.2308,10.8379,10.8146,zgc:55347
